Núm. Archivo: 44
Nombre: P_TAJAMAR_6
Fecha: 21/9/2022
F11IDE(16)isID;F01IDV(16)isID;RD4Fecha(d/M/yyyy)notID;RT4Hora(HH:mm:ss)notID;F34FECHA NAC.(d/M/yyyy)notID;F23RAZA()notID;C73UBICACION()notID;C23INSCRIPTA()notID;C32PESO(##########)notID;C11NOTA(12)notID
IDE;IDV;Fecha;Hora;FECHA NAC.;RAZA;UBICACION;INSCRIPTA;PESO;NOTA
991 005003487184;1359;21/9/2022;16:08:00;31/8/2021;BRANGUS C;PAST TAJAMAR;SI;208;
991 005003487154;1360;21/9/2022;16:09:33;31/8/2021;BRANGUS C;PAST TAJAMAR;SI;246;
991 005003487145;AN95;21/9/2022;16:10:38;31/8/2021;BRANGUS C;PAST TAJAMAR;NO;220;
991 005003487137;1361;21/9/2022;16:12:31;31/8/2021;BRANGUS C;PAST TAJAMAR;SI;236;
991 005003487173;AN00;21/9/2022;16:14:22;31/8/2021;BRANGUS C;PAST TAJAMAR;NO;228;
991 005003487138;1362;21/9/2022;16:16:29;31/8/2021;BRANGUS C;PAST TAJAMAR;SI;228;
991 005003487175;1363;21/9/2022;16:19:29;31/8/2021;BRANGUS C;PAST TAJAMAR;SI;206;
991 005003487180;1364;21/9/2022;16:21:46;31/8/2021;BRANGUS C;PAST TAJAMAR;SI;228;
991 005003487199;1365;21/9/2022;16:23:03;31/8/2021;BRANGUS C;PAST TAJAMAR;SI;246;
991 005003487193;1366;21/9/2022;16:23:53;31/8/2021;BRANGUS C;PAST TAJAMAR;SI;192;
991 005003487187;1367;21/9/2022;16:27:12;31/8/2021;BRANGUS C;PAST TAJAMAR;SI;214;
991 005003487189;1368;21/9/2022;16:29:24;31/8/2021;BRANGUS C;PAST TAJAMAR;SI;210;
991 005003487218;1369;21/9/2022;16:31:20;31/8/2021;BRANGUS C;PAST TAJAMAR;SI;244;
991 005003487198;1370;21/9/2022;16:32:30;31/8/2021;BRANGUS C;PAST TAJAMAR;SI;194;
991 005003487205;1371;21/9/2022;16:38:24;31/8/2021;BRANGUS C;PAST TAJAMAR;SI;160;
